Island,Country,Province
Great Britain,GB,Aberconwy and Colwyn
Honshu,J,Aichi
Honshu,J,Akita
Aland,SF,Aland
Tutuila,AMSA,American Samoa
South Andaman Island,IND,Andaman and Nicobar Is.
Anglesey,GB,Anglesey
Anguilla,AXA,Anguilla
Madagaskar,RM,Antananarivo
Antigua,AG,Antigua and Barbuda
Barbuda,AG,Antigua and Barbuda
Madagaskar,RM,Antsiranana
Honshu,J,Aomori
Aruba,ARU,Aruba
Great Britain,GB,Avon
Corvo,P,Azores
Faial,P,Azores
Flores,P,Azores
Graciosa,P,Azores
Pico,P,Azores
Santa Maria,P,Azores
Sao Jorge,P,Azores
Sao Miguel,P,Azores
Terceira,P,Azores
New Providence,BS,Bahamas
Bahrain,BRN,Bahrain
Formentera,E,Balearic Islands
Ibiza,E,Balearic Islands
Mallorca,E,Balearic Islands
Menorca,E,Balearic Islands
Barbados,BDS,Barbados
Great Britain,GB,Bedfordshire
Great Britain,GB,Berkshire
Grand Bermuda,BERM,Bermuda
Great Britain,GB,Blaenau Gwent
Great Britain,GB,Borders
Great Britain,GB,Bridgend
Vancouver Island,CDN,British Columbia
Tortola,BVIR,British Virgin Islands
Borneo,BRU,Brunei
Great Britain,GB,Buckinghamshire
Great Britain,GB,Caerphilly
Alicudi,I,Calabria
Filicudi,I,Calabria
Lipari,I,Calabria
Panarea,I,Calabria
Salina,I,Calabria
Stromboli,I,Calabria
Vulcano,I,Calabria
San Clemente Island,USA,California
San Miguel Island,USA,California
Santa Catalina Island,USA,California
Santa Cruz Island,USA,California
Santa Rosa Island,USA,California
Great Britain,GB,Cambridgeshire
Fuerteventura,E,Canary Islands
Gomera,E,Canary Islands
Gran Canaria,E,Canary Islands
Hierro,E,Canary Islands
La Palma,E,Canary Islands
Lanzarote,E,Canary Islands
Teneriffa,E,Canary Islands
Fogo,CV,Cape Verde
Santiago,CV,Cape Verde
Great Britain,GB,Cardiff
Great Britain,GB,Carmarthenshire
Cayman Brac,CAYM,Cayman Islands
Grand Cayman,CAYM,Cayman Islands
Little Cayman,CAYM,Cayman Islands
Great Britain,GB,Central
Great Britain,GB,Ceredigion
Great Britain,GB,Cheshire
Honshu,J,Chiba
Osterinsel,RCH,Chile
Christmas Island,XMAS,Christmas Island
Cuba,C,Ciego de Avila
Cuba,C,Cienfuegos
Cuba,C,Ciudad de la Habana
Great Britain,GB,Cleveland
Pulau Panjang,COCO,Cocos Islands
Anjouan,COM,Comoros
Grand Comoro,COM,Comoros
Mohilla,COM,Comoros
Rarotonga,COOK,Cook Islands
Bishop Rock,GB,Cornwall
Great Britain,GB,Cornwall
Corse,F,Corse
Great Britain,GB,Cumbria
Cyprus,CY,Cyprus
Great Britain,GB,Denbighshire
Bornholm,DK,Denmark
Falster,DK,Denmark
Fuenen,DK,Denmark
Langeland,DK,Denmark
Lolland,DK,Denmark
Seeland,DK,Denmark
Great Britain,GB,Derbyshire
Great Britain,GB,Devon
Lundy,GB,Devon
Dominica,WD,Dominica
Hispaniola,DOM,Dominican Republic
Great Britain,GB,Dorset
Great Britain,GB,Dumfries and Galloway
Great Britain,GB,Durham
Great Britain,GB,East Sussex
Isabela,EC,Ecuador
Shikoku,J,Ehime
Bioko,GQ,Equatorial Guinea
Great Britain,GB,Essex
Dagoe,EW,Estonia
Oesel,EW,Estonia
East Falkland,FALK,Falkland Islands
West Falkland,FALK,Falkland Islands
Streymoy,FARX,Faroe Islands
Khark,IR,Fars
Lavan,IR,Fars
Madagaskar,RM,Fianarantsoa
Great Britain,GB,Fife
Vanua Levu,FJI,Fiji
Viti Levu,FJI,Fiji
Great Britain,GB,Flintshire
Tahiti,FPOL,French Polynesia
Ameland,NL,Friesland
Schiermonnikoog,NL,Friesland
Terschelling,NL,Friesland
Vlieland,NL,Friesland
Honshu,J,Fukui
Kyushu,J,Fukuoka
Honshu,J,Fukushima
Honshu,J,Gifu
Great Britain,GB,Gloucestershire
Gotland,S,Gotland
Great Britain,GB,Grampian
Cuba,C,Granma
Great Britain,GB,Greater London
Great Britain,GB,Greater Manchester
Greenland,GROX,Greenland
Grenada,WG,Grenada
Basse-Terre,GUAD,Guadeloupe
Grande-Terre,GUAD,Guadeloupe
Guam,GUAM,Guam
Cuba,C,Guantanamo
Guernsey,GBG,Guernsey
Honshu,J,Gumma
Great Britain,GB,Gwynedd
Hainan,TJ,Hainan
Hispaniola,RH,Haiti
Great Britain,GB,Hampshire
Hawaii,USA,Hawaii
Kauai,USA,Hawaii
Lanai,USA,Hawaii
Maui,USA,Hawaii
Molokai,USA,Hawaii
Niihau,USA,Hawaii
Oahu,USA,Hawaii
Great Britain,GB,Hereford and Worcester
Great Britain,GB,Hertfordshire
Great Britain,GB,Highland
Mull,GB,Highland
Rhum,GB,Highland
Skye,GB,Highland
Honshu,J,Hiroshima
Hokkaido,J,Hokkaido
Cuba,C,Holguin
Gheschm,IR,Hormozgan
Great Britain,GB,Humberside
Honshu,J,Hyogo
Honshu,J,Ibaraki
Iceland,IS,Iceland
Ambon,RI,Indonesia
Bali,RI,Indonesia
Bangka,RI,Indonesia
Batam,RI,Indonesia
Borneo,RI,Indonesia
Ceram,RI,Indonesia
Java,RI,Indonesia
Krakatau,RI,Indonesia
Lombok,RI,Indonesia
New Guinea,RI,Indonesia
Samosir,RI,Indonesia
Sulawesi,RI,Indonesia
Sumatra,RI,Indonesia
Sumbawa,RI,Indonesia
Timor,RI,Indonesia
Kefallinia,GR,Ionioi Nisoi
Korfu,GR,Ionioi Nisoi
Lefkas,GR,Ionioi Nisoi
Zakinthos,GR,Ionioi Nisoi
Ireland,IRL,Ireland
Honshu,J,Ishikawa
Isle of Wight,GB,Isle of Wight
Honshu,J,Iwate
Jamaica,JA,Jamaica
Jersey,GBJ,Jersey
Shikoku,J,Kagawa
Kyushu,J,Kagoshima
Oeland,S,Kalmar
Paramuschir,R,Kamchatskaya oblast
Honshu,J,Kanagawa
Great Britain,GB,Kent
Tarawa,KIR,Kiribati
Shikoku,J,Kochi
Kreta,GR,Kriti
Kyushu,J,Kumamoto
Honshu,J,Kyoto
Cuba,C,La Habana
Kavaratti,IND,Lakshadweep Is.
Great Britain,GB,Lancashire
Cuba,C,Las Tunas
Great Britain,GB,Leicestershire
Great Britain,GB,Lincolnshire
Great Britain,GB,Lothian
Madeira,P,Madeira
Porto Santo,P,Madeira
Madagaskar,RM,Mahajanga
Male,MV,Maldives
Gozo,M,Malta
Malta,M,Malta
Isle of Man,GBM,Man
Majuro,MH,Marshall Islands
Martinique,MART,Martinique
Martha s Vineyard,USA,Massachusetts
Nantucket,USA,Massachusetts
Cuba,C,Matanzas
Mauritius,MS,Mauritius
Mayotte,MAYO,Mayotte
Rugen,D,Mecklenburg Vorpommern
Usedom,D,Mecklenburg Vorpommern
Great Britain,GB,Merseyside
Great Britain,GB,Merthyr Tydfil
Ponape,FSM,Micronesia
Honshu,J,Mie
Honshu,J,Miyagi
Kyushu,J,Miyazaki
Pemba,EAT,Mjini Magharibi
Sansibar,EAT,Mjini Magharibi
Great Britain,GB,Monmouthshire
Montserrat,MNTS,Montserrat
Honshu,J,Nagano
Kyushu,J,Nagasaki
Honshu,J,Nara
Nauru,NAU,Nauru
Great Britain,GB,Neath and Port Talbot
Bonaire,NA,Netherlands Antilles
Curacao,NA,Netherlands Antilles
St. Martin,NA,Netherlands Antilles
Grande Terre,NCA,New Caledonia
Long Island,USA,New York
Te Ika-a-Maui (North Island),NZ,New Zealand
Te Waka-a-Maui (South Island),NZ,New Zealand
Newfoundland,CDN,Newfoundland
Great Britain,GB,Newport
Isla da Ometepe,NIC,Nicaragua
Baltrum,D,Niedersachsen
Borkum,D,Niedersachsen
Juist,D,Niedersachsen
Langeoog,D,Niedersachsen
Norderney,D,Niedersachsen
Spiekeroog,D,Niedersachsen
Wangerooge,D,Niedersachsen
Honshu,J,Niigata
Niue,NIUE,Niue
Texel,NL,Noord Holland
Aust-Vagoey,N,Nordland
Great Britain,GB,Norfolk
Norfolk Island,NORF,Norfolk Island
Great Britain,GB,North Yorkshire
Great Britain,GB,Northamptonshire
Ireland,GB,Northern Ireland
Rota,NMIS,Northern Mariana Islands
Saipan,NMIS,Northern Mariana Islands
Tinian,NMIS,Northern Mariana Islands
Melville Island,AUS,Northern Territory
Great Britain,GB,Northumberland
Baffin Island,CDN,Northwest Territories
Banks Island,CDN,Northwest Territories
Ellesmere Island,CDN,Northwest Territories
Prince of Wales Island,CDN,Northwest Territories
Southampton Island,CDN,Northwest Territories
Victoria Island,CDN,Northwest Territories
Kos,GR,Notion Aiyaion
Rhodos,GR,Notion Aiyaion
Great Britain,GB,Nottinghamshire
Kyushu,J,Oita
Honshu,J,Okayama
Okinawa,J,Okinawa
Manitoulin,CDN,Ontario
Rene Levasseur Island,CDN,Ontario
Hoy,GB,Orkneys
Orkney Mainland,GB,Orkneys
South Ronaldsay,GB,Orkneys
Westray,GB,Orkneys
Honshu,J,Osaka
Barra,GB,Outer Hebrides
Benbecula,GB,Outer Hebrides
Lewis and Harris,GB,Outer Hebrides
North Uist,GB,Outer Hebrides
South Uist,GB,Outer Hebrides
Great Britain,GB,Oxfordshire
Babelthuap,PAL,Palau
Koror,PAL,Palau
Bougainville,PNG,Papua New Guinea
New Guinea,PNG,Papua New Guinea
Great Britain,GB,Pembrokeshire
Bohol,RP,Philippines
Cebu,RP,Philippines
Leyte,RP,Philippines
Luzon,RP,Philippines
Mindanao,RP,Philippines
Mindoro,RP,Philippines
Negros,RP,Philippines
Palawan,RP,Philippines
Panay,RP,Philippines
Samar,RP,Philippines
Cuba,C,Pinar del Rio
Pitcairn,PITC,Pitcairn Islands
Great Britain,GB,Powys
Prince Edward Island,CDN,Prince Edward Island
Puerto Rico,PR,Puerto Rico
Olkhon,R,Rep. of Buryatiya
Kotelny Island,R,Rep. of Sakha
Reunion,REUN,Reunion
Great Britain,GB,Rhondda Cynon Taff
Borneo,MAL,Sabah
Kyushu,J,Saga
Ascension,HELX,Saint Helena
Saint Helena,HELX,Saint Helena
Tristan Da Cunha,HELX,Saint Helena
Nevis,KN,Saint Kitts and Nevis
Saint Kitts,KN,Saint Kitts and Nevis
Saint Lucia,WL,Saint Lucia
St. Martin,SMAR,Saint Martin
Miquelon-Langlade,SPMI,Saint Pierre and Miquelon
Saint Pierre,SPMI,Saint Pierre and Miquelon
Saint Vincent,WV,Saint Vincent and the Grenadines
Honshu,J,Saitama
Sachalin,R,Sakhalinskaya oblast
Savaii,WS,Samoa
Upolu,WS,Samoa
Cuba,C,Sancti Spiritus
Cuba,C,Santiago de Cuba
Principe,STP,Sao Tome and Principe
Sao Tome,STP,Sao Tome and Principe
Borneo,MAL,Sarawak
Sardegna,I,Sardegna
Amrum,D,Schleswig Holstein
Fehmarn,D,Schleswig Holstein
Fohr,D,Schleswig Holstein
Helgoland,D,Schleswig Holstein
Pellworm,D,Schleswig Holstein
Sylt,D,Schleswig Holstein
Mahe,SY,Seychelles
Shetland Mainland,GB,Shetland
Honshu,J,Shiga
Honshu,J,Shimane
Honshu,J,Shizuoka
Great Britain,GB,Shropshire
Lampedusa,I,Sicilia
Linosa,I,Sicilia
Sicilia,I,Sicilia
Singapore,SGP,Singapore
Guadalcanal,SLB,Solomon Islands
Great Britain,GB,Somerset
Cangaroo Island,AUS,South Australia
Jeju,ROK,South Korea
Great Britain,GB,South Yorkshire
Sri Lanka,CL,Sri Lanka
Great Britain,GB,Staffordshire
Arran,GB,Strathclyde
Great Britain,GB,Strathclyde
Islay,GB,Strathclyde
Jura,GB,Strathclyde
Great Britain,GB,Suffolk
Great Britain,GB,Surrey
Svalbard,SVAX,Svalbard
Great Britain,GB,Swansea
Usedom,PL,Szczecinskie
Taiwan,RC,Taiwan
Tasmania,AUS,Tasmania
Great Britain,GB,Tayside
Timor,TL,Timor-Leste
Madagaskar,RM,Toamasina
Honshu,J,Tochigi
Shikoku,J,Tokushima
Honshu,J,Tokyo
Madagaskar,RM,Toliara
Tongatapu,TO,Tonga
Great Britain,GB,Torfaen
Honshu,J,Tottori
Honshu,J,Toyama
Tobago,TT,Trinidad and Tobago
Trinidad,TT,Trinidad and Tobago
Grand Turk,TUCA,Turks and Caicos Islands
North Caicos,TUCA,Turks and Caicos Islands
Providenciales,TUCA,Turks and Caicos Islands
Fongafale,TUV,Tuvalu
Great Britain,GB,Tyne and Wear
Great Britain,GB,Vale of Glamorgan
Efate,VU,Vanuatu
Cuba,C,Villa Clara
Saint Thomas,VIRG,Virgin Islands
Chios,GR,Voreion Aiyaion
Ikaria,GR,Voreion Aiyaion
Lesbos,GR,Voreion Aiyaion
Samos,GR,Voreion Aiyaion
Honshu,J,Wakayama
Futuna,WAFU,Wallis and Futuna
Uvea,WAFU,Wallis and Futuna
Great Britain,GB,Warwickshire
Great Britain,GB,West Midlands
Great Britain,GB,West Sussex
Great Britain,GB,West Yorkshire
Great Britain,GB,Wiltshire
Great Britain,GB,Wrexham
Honshu,J,Yamagata
Honshu,J,Yamaguchi
Honshu,J,Yamanashi
Sokotra,YE,Yemen
