Node-Id,Node-Title,betweennessCentrality-1-Social-Network Analysis,betweennessCentrality-1-Social-Network Analysis-unscaled,closenessCentrality-1-Social-Network Analysis,closenessCentrality-1-Social-Network Analysis-unscaled,eccentricityCentrality-1-Social-Network Analysis,egoBetweennessCentrality-1-Social-Network Analysis,inClosenessCentrality-1-Social-Network Analysis,inClosenessCentrality-1-Social-Network Analysis-unscaled,inInverseClosenessCentrality-1-Social-Network Analysis,inInverseClosenessCentrality-1-Social-Network Analysis-unscaled,outDegreeCentrality-1-Social-Network Analysis,outDegreeCentrality-1-Social-Network Analysis-unscaled,outDegreeCentrality-2-Social-Network Analysis,outDegreeCentrality-2-Social-Network Analysis-unscaled,totalDegreeCentrality-1-Social-Network Analysis,totalDegreeCentrality-1-Social-Network Analysis-unscaled,totalDegreeCentrality-2-Social-Network Analysis,totalDegreeCentrality-2-Social-Network Analysis-unscaled
EMP004,EMP004,0,0,1.30E-04,0,19,0,1.05E-05,0,0,0,0.002,13,0.005,1,8.21E-04,13,0.002,1
EMP489,EMP489,0.001,57,1.30E-04,0,6,0.386,1.05E-05,0,0.022,4.444,0.002,12,0.03,6,0.003,45,0.037,15
EMP011,EMP011,0,0,1.28E-04,0,38,0,1.05E-05,0,0,0,5.05E-04,4,0.005,1,2.53E-04,4,0.002,1
EMP171,EMP171,7.32E-04,30,1.28E-04,0,34,0.214,1.05E-05,0,0.022,4.445,0.002,16,0.01,2,0.005,73,0.022,9
EMP013,EMP013,0,0,1.26E-04,0,1,0,1.05E-05,0,0,0,1.26E-04,1,0.005,1,6.32E-05,1,0.002,1
EMP510,EMP510,0,0,1.26E-04,0,0,0,1.05E-05,0,0.005,1,0,0,0,0,6.32E-05,1,0.002,1
EMP014,EMP014,0,0,1.36E-04,0,66,0,1.05E-05,0,0,0,0.003,24,0.005,1,0.002,24,0.002,1
EMP544,EMP544,0.007,303,1.35E-04,0,42,0.467,1.06E-05,0,0.023,4.731,0.018,141,0.049,10,0.017,268,0.062,25
EMP023,EMP023,0,0,1.26E-04,0,1,0,1.05E-05,0,0,0,1.26E-04,1,0.005,1,6.32E-05,1,0.002,1
EMP265,EMP265,0,0,1.26E-04,0,0,0,1.05E-05,0,0.023,4.601,0,0,0,0,2.53E-04,4,0.007,3
EMP026,EMP026,0,0,1.26E-04,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0
EMP038,EMP038,0,0,1.26E-04,0,1,0,1.05E-05,0,0,0,1.26E-04,1,0.005,1,6.32E-05,1,0.002,1
EMP145,EMP145,0,0,1.26E-04,0,0,0,1.05E-05,0,0.005,1,0,0,0,0,6.32E-05,1,0.002,1
EMP041,EMP041,0,0,1.26E-04,0,2,0,1.05E-05,0,0,0,2.53E-04,2,0.005,1,1.26E-04,2,0.002,1
EMP362,EMP362,0,0,1.26E-04,0,0,0,1.05E-05,0,0.002,0.5,0,0,0,0,1.26E-04,2,0.002,1
EMP053,EMP053,0,0,1.26E-04,0,3,0,1.05E-05,0,0,0,3.79E-04,3,0.005,1,1.90E-04,3,0.002,1
EMP099,EMP099,0,0,1.26E-04,0,0,0,1.05E-05,0,0.002,0.333,0,0,0,0,1.90E-04,3,0.002,1
EMP056,EMP056,0,0,1.26E-04,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0
EMP070,EMP070,0,0,1.26E-04,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0
EMP084,EMP084,0,0,1.36E-04,0,69,0,1.05E-05,0,0,0,0.003,27,0.005,1,0.002,27,0.002,1
EMP536,EMP536,0.005,198,1.35E-04,0,42,0.429,1.06E-05,0,0.009,1.919,0.003,23,0.02,4,0.006,91,0.022,9
EMP088,EMP088,0,0,1.26E-04,0,0,0,1.05E-05,0,0.002,0.333,0,0,0,0,1.90E-04,3,0.002,1
EMP093,EMP093,0,0,1.27E-04,0,4,0,1.05E-05,0,0.007,1.343,8.84E-04,7,0.01,2,0.001,23,0.015,6
EMP127,EMP127,0,0,1.27E-04,0,7,0,1.05E-05,0,0.008,1.533,0.002,14,0.01,2,0.002,26,0.015,6
EMP463,EMP463,0,0,1.27E-04,0,2,0,1.05E-05,0,0.005,1.093,5.05E-04,4,0.01,2,0.001,22,0.015,6
EMP103,EMP103,3.66E-04,15,1.29E-04,0,35,0.333,1.05E-05,0,0.002,0.389,3.79E-04,3,0.01,2,5.68E-04,9,0.007,3
EMP583,EMP583,0,0,1.26E-04,0,0,0,1.05E-05,0,0.006,1.307,0,0,0,0,2.53E-04,4,0.005,2
EMP115,EMP115,0,0,1.31E-04,0,44,0,1.05E-05,0,0,0,7.58E-04,6,0.01,2,3.79E-04,6,0.005,2
EMP200,EMP200,0,0,1.30E-04,0,44,0,1.05E-05,0,0.002,0.361,3.79E-04,3,0.005,1,0.003,42,0.007,3
EMP505,EMP505,2.93E-04,12,1.30E-04,0,41,0.333,1.05E-05,0,0.003,0.667,0.005,42,0.01,2,0.003,48,0.01,4
EMP117,EMP117,0,0,1.26E-04,0,2,0,1.05E-05,0,0,0,2.53E-04,2,0.005,1,1.26E-04,2,0.002,1
EMP120,EMP120,0.001,51,1.31E-04,0,24,0.25,1.05E-05,0,0.014,2.843,1.26E-04,1,0.005,1,4.42E-04,7,0.01,4
EMP293,EMP293,0.002,70,1.30E-04,0,23,0.304,1.05E-05,0,0.024,4.849,0.003,20,0.015,3,0.003,45,0.022,9
EMP121,EMP121,0,0,1.35E-04,0,24,0,1.05E-05,0,0.012,2.426,1.26E-04,1,0.005,1,1.26E-04,2,0.005,2
EMP321,EMP321,0.002,70,1.35E-04,0,23,0.5,1.05E-05,0,0.016,3.25,0.001,8,0.015,3,0.002,25,0.022,9
EMP132,EMP132,0,0,1.36E-04,0,45,0,1.05E-05,0,0,0,3.79E-04,3,0.005,1,1.90E-04,3,0.002,1
EMP135,EMP135,0,0,1.26E-04,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0
EMP136,EMP136,0,0,1.26E-04,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0
EMP137,EMP137,0,0,1.29E-04,0,8,0,1.05E-05,0,0,0,1.26E-04,1,0.005,1,6.32E-05,1,0.002,1
EMP208,EMP208,9.76E-05,4,1.28E-04,0,7,0.5,1.05E-05,0,0.005,1,3.79E-04,3,0.005,1,2.53E-04,4,0.005,2
EMP140,EMP140,0,0,1.36E-04,0,24,0,1.05E-05,0,0,0,1.26E-04,1,0.005,1,6.32E-05,1,0.002,1
EMP142,EMP142,0,0,1.26E-04,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0
EMP148,EMP148,0,0,1.36E-04,0,51,0,1.05E-05,0,0,0,3.79E-04,3,0.005,1,1.90E-04,3,0.002,1
EMP423,EMP423,0.001,51,1.35E-04,0,48,0.667,1.06E-05,0,0.007,1.481,0.002,12,0.01,2,0.002,28,0.012,5
EMP150,EMP150,0,0,1.27E-04,0,5,0,1.05E-05,0,0,0,1.26E-04,1,0.005,1,6.32E-05,1,0.002,1
EMP550,EMP550,4.88E-05,2,1.26E-04,0,4,0.333,1.05E-05,0,0.007,1.5,5.05E-04,4,0.005,1,4.42E-04,7,0.007,3
EMP151,EMP151,0,0,1.26E-04,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0
EMP157,EMP157,0,0,1.27E-04,0,2,0,1.05E-05,0,0,0,5.05E-04,4,0.01,2,2.53E-04,4,0.005,2
EMP351,EMP351,0,0,1.26E-04,0,0,0,1.05E-05,0,0.005,1,0,0,0,0,2.53E-04,4,0.005,2
EMP431,EMP431,0,0,1.26E-04,0,0,0,1.05E-05,0,0.002,0.5,0,0,0,0,1.26E-04,2,0.002,1
EMP158,EMP158,0,0,1.26E-04,0,2,0,1.05E-05,0,0,0,2.53E-04,2,0.005,1,1.26E-04,2,0.002,1
EMP160,EMP160,0,0,1.31E-04,0,16,0,1.05E-05,0,0,0,6.32E-04,5,0.01,2,3.16E-04,5,0.005,2
EMP307,EMP307,7.80E-04,32,1.27E-04,0,6,0.25,1.05E-05,0,0.012,2.49,3.79E-04,3,0.005,1,0.001,18,0.01,4
EMP168,EMP168,1.22E-04,5,1.26E-04,0,2,0.167,1.05E-05,0,0.013,2.559,2.53E-04,2,0.005,1,0.003,54,0.017,7
EMP204,EMP204,0,0,1.26E-04,0,2,0,1.05E-05,0,0.007,1.451,2.53E-04,2,0.005,1,2.53E-04,4,0.005,2
EMP169,EMP169,0,0,1.26E-04,0,1,0,1.05E-05,0,0.005,1,1.26E-04,1,0.005,1,1.26E-04,2,0.005,2
EMP369,EMP369,0,0,1.26E-04,0,1,0,1.05E-05,0,0.005,1,1.26E-04,1,0.005,1,1.26E-04,2,0.005,2
EMP170,EMP170,0,0,1.35E-04,0,47,0,1.06E-05,0,0.021,4.176,6.32E-04,5,0.005,1,3.79E-04,6,0.005,2
EMP472,EMP472,0,0,1.26E-04,0,0,0,1.05E-05,0,0.007,1.395,0,0,0,0,3.16E-04,5,0.002,1
EMP548,EMP548,2.93E-04,12,1.28E-04,0,40,0.333,1.05E-05,0,0.01,2.114,0.007,58,0.01,2,0.004,70,0.01,4
EMP173,EMP173,0,0,1.26E-04,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0
EMP176,EMP176,0,0,1.32E-04,0,12,0,1.05E-05,0,0.005,1,1.26E-04,1,0.005,1,1.26E-04,2,0.005,2
EMP266,EMP266,1.95E-04,8,1.32E-04,0,11,0.333,1.05E-05,0,0.005,1,0.001,8,0.015,3,5.68E-04,9,0.01,4
EMP178,EMP178,0,0,1.27E-04,0,6,0,1.05E-05,0,7.04E-04,0.143,5.05E-04,4,0.005,1,6.95E-04,11,0.005,2
EMP253,EMP253,2.44E-05,1,1.27E-04,0,7,0.5,1.05E-05,0,0.001,0.25,0.001,9,0.01,2,8.21E-04,13,0.007,3
EMP179,EMP179,0,0,1.36E-04,0,51,0,1.05E-05,0,0,0,3.79E-04,3,0.005,1,1.90E-04,3,0.002,1
EMP242,EMP242,3.66E-04,15,1.36E-04,0,48,0.5,1.05E-05,0,0.002,0.333,7.58E-04,6,0.005,1,5.68E-04,9,0.005,2
EMP182,EMP182,0,0,1.31E-04,0,25,0,1.05E-05,0,0,0,2.53E-04,2,0.005,1,1.26E-04,2,0.002,1
EMP183,EMP183,0,0,1.31E-04,0,24,0,1.05E-05,0,0,0,1.26E-04,1,0.005,1,6.32E-05,1,0.002,1
EMP193,EMP193,0,0,1.26E-04,0,1,0,1.05E-05,0,0,0,1.26E-04,1,0.005,1,6.32E-05,1,0.002,1
EMP196,EMP196,0,0,1.26E-04,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0
EMP201,EMP201,0,0,1.26E-04,0,2,0,1.05E-05,0,0,0,2.53E-04,2,0.005,1,1.26E-04,2,0.002,1
EMP358,EMP358,0,0,1.26E-04,0,0,0,1.06E-05,0,0.014,2.85,0,0,0,0,3.79E-04,6,0.005,2
EMP529,EMP529,1.46E-04,6,1.28E-04,0,4,0.5,1.05E-05,0,0.003,0.617,1.26E-04,1,0.005,1,0.002,34,0.007,3
EMP209,EMP209,0,0,1.26E-04,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0
EMP210,EMP210,0,0,1.26E-04,0,2,0,1.05E-05,0,0,0,2.53E-04,2,0.005,1,1.26E-04,2,0.002,1
EMP493,EMP493,0,0,1.26E-04,0,0,0,1.06E-05,0,0.013,2.684,0,0,0,0,4.42E-04,7,0.007,3
EMP217,EMP217,0,0,1.30E-04,0,9,0,1.05E-05,0,0.017,3.548,3.79E-04,3,0.005,1,2.53E-04,4,0.005,2
EMP218,EMP218,0,0,1.26E-04,0,6,0,1.05E-05,0,0,0,7.58E-04,6,0.005,1,3.79E-04,6,0.002,1
EMP286,EMP286,0,0,1.26E-04,0,0,0,1.05E-05,0,0.001,0.229,0,0,0,0,0.001,22,0.005,2
EMP219,EMP219,0,0,1.36E-04,0,26,0,1.05E-05,0,0,0,3.79E-04,3,0.005,1,1.90E-04,3,0.002,1
EMP226,EMP226,0,0,1.26E-04,0,0,0,1.05E-05,0,0.005,1,0,0,0,0,6.32E-05,1,0.002,1
EMP228,EMP228,0,0,1.35E-04,0,54,0,1.06E-05,0,0.005,1.005,7.58E-04,6,0.005,1,7.58E-04,12,0.005,2
EMP231,EMP231,0,0,1.26E-04,0,3,0,1.05E-05,0,0,0,3.79E-04,3,0.005,1,1.90E-04,3,0.002,1
EMP191,EMP191,0,0,1.26E-04,0,0,0,1.06E-05,0,0.015,3.016,0,0,0,0,6.32E-04,10,0.007,3
EMP236,EMP236,0.002,66,1.35E-04,0,19,0.2,1.05E-05,0,0.005,1.018,0.003,24,0.025,5,0.002,28,0.015,6
EMP492,EMP492,5.12E-04,21,1.28E-04,0,7,0.5,1.05E-05,0,0.004,0.843,1.26E-04,1,0.005,1,3.16E-04,5,0.005,2
EMP590,EMP590,0,0,1.26E-04,0,0,0,1.05E-05,0,0.004,0.843,0,0,0,0,2.53E-04,4,0.002,1
EMP237,EMP237,0,0,1.26E-04,0,3,0,1.05E-05,0,0,0,3.79E-04,3,0.005,1,1.90E-04,3,0.002,1
EMP378,EMP378,0,0,1.26E-04,0,0,0,1.05E-05,0,0.013,2.667,0,0,0,0,5.05E-04,8,0.01,4
EMP239,EMP239,2.44E-05,1,1.26E-04,0,12,0.5,1.05E-05,0,0.005,1,0.002,12,0.005,1,8.21E-04,13,0.005,2
EMP409,EMP409,0,0,1.26E-04,0,0,0,1.05E-05,0,0.004,0.777,0,0,0,0,0.001,16,0.005,2
EMP246,EMP246,0,0,1.26E-04,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0
EMP247,EMP247,0,0,1.26E-04,0,3,0,1.05E-05,0,0,0,3.79E-04,3,0.005,1,1.90E-04,3,0.002,1
EMP479,EMP479,0,0,1.26E-04,0,0,0,1.05E-05,0,0.002,0.333,0,0,0,0,1.90E-04,3,0.002,1
